doc_id,doc_title,Column1,Column2,Column3,Column4
27315,Tristana,.,.,Fp,0
27315,Tristana,Tristana,tristana,NP00000,0
27315,Tristana,es,ser,VSIP3S0,01775973
27315,Tristana,una,uno,DI0FS0,0
27315,Tristana,película,película,NCFS000,04960631
27315,Tristana,de,de,SPS00,0
27315,Tristana,el,el,DA0MS0,0
27315,Tristana,director,director,NCMS000,07063762
27315,Tristana,español,español,AQ0MS0,02727705
27315,Tristana,nacionalizado,nacionalizar,VMP00SM,00285796
27315,Tristana,mexicano,mexicano,AQ0MS0,02782661
27315,Tristana,Luis_Buñuel,luis_buñuel,NP00000,0
27315,Tristana,.,.,Fp,0
27315,Tristana,Está,estar,VAIP3S0,01811792
27315,Tristana,basada,basar,VMP00SF,00430666
27315,Tristana,en,en,SPS00,0
27315,Tristana,la,el,DA0FS0,0
27315,Tristana,novela,novela,NCFS000,04800741
27315,Tristana,de,de,SPS00,0
27315,Tristana,el,el,DA0MS0,0
27315,Tristana,mismo,mismo,AQ0MS0,01990350
27315,Tristana,nombre,nombre,NCMS000,04778525
27315,Tristana,de,de,SPS00,0
27315,Tristana,Benito_Pérez_Galdós,benito_pérez_galdós,NP00000,0
27315,Tristana,.,.,Fp,0
27315,Tristana,Fue,ser,VSIS3S0,01775973
27315,Tristana,nominada,nominar,VMP00SF,01632536
27315,Tristana,a,a,SPS00,0
27315,Tristana,el,el,DA0MS0,0
27315,Tristana,Oscar,oscar,NP00000,0
27315,Tristana,a,a,SPS00,0
27315,Tristana,la,el,DA0FS0,0
27315,Tristana,mejor,mejor,AQ0CS0,00224964
27315,Tristana,película,película,NCFS000,04960631
27315,Tristana,de,de,SPS00,0
27315,Tristana,habla,habla,NCFS000,05319899
27315,Tristana,no,no,RN,0
27315,Tristana,inglesa,inglés,AQ0FS0,02762810
27315,Tristana,en,en,SPS00,0
27315,Tristana,1970,1970,Z,0
27315,Tristana,.,.,Fp,0
216784,Doce monos,En,en,SPS00,0
216784,Doce monos,su,su,DP3CS0,0
216784,Doce monos,primer,1,AO0MS0,02098880
216784,Doce monos,viaje,viaje,NCMS000,00198579
216784,Doce monos,el,el,DA0MS0,0
216784,Doce monos,comportamiento,comportamiento,NCMS000,00792210
216784,Doce monos,desadaptado,desadaptado,VMP00SM,0
216784,Doce monos,y,y,CC,0
216784,Doce monos,agresivo,agresivo,AQ0MS0,00085200
216784,Doce monos,de,de,SPS00,0
216784,Doce monos,Cole,cole,NP00000,0
216784,Doce monos,lleva,llevar,VMIP3S0,01422262
216784,Doce monos,a,a,SPS00,0
216784,Doce monos,que,que,CS,0
216784,Doce monos,sea,ser,VSSP1S0,01775973
216784,Doce monos,apresado,apresar,VMP00SM,0
216784,Doce monos,y,y,CC,0
216784,Doce monos,recluido,recluir,VMP00SM,01863205
216784,Doce monos,en,en,SPS00,0
216784,Doce monos,un,uno,DI0MS0,0
216784,Doce monos,Centro_Psiquiátrico,centro_psiquiátrico,NP00000,0
216784,Doce monos,",",",",Fc,0
216784,Doce monos,acusado,acusar,VMP00SM,00571723
216784,Doce monos,de,de,SPS00,0
216784,Doce monos,ser,ser,VSN0000,01775973
216784,Doce monos,enfermo,enfermo,NCMS000,07574722
216784,Doce monos,mental,mental,AQ0CS0,01711900
216784,Doce monos,puesto,puesto,NCMS000,00385376
216784,Doce monos,que,que,PR0CN000,0
216784,Doce monos,defiende,defender,VMIP3S0,00606523
216784,Doce monos,venir,venir,VMN0000,01790831
216784,Doce monos,de,de,SPS00,0
216784,Doce monos,el,el,DA0MS0,0
216784,Doce monos,futuro,futuro,NCMS000,10849807
216784,Doce monos,y,y,CC,0
216784,Doce monos,habla,hablar,VMIP3S0,00638109
216784,Doce monos,sobre,sobre,SPS00,0
216784,Doce monos,un,uno,DI0MS0,0
216784,Doce monos,virus,virus,NCMN000,00871107
216784,Doce monos,mortal,mortal,AQ0CS0,00941009
216784,Doce monos,de,de,SPS00,0
216784,Doce monos,el,el,DA0MS0,0
216784,Doce monos,que,que,PR0CN000,0
216784,Doce monos,nadie,nadie,PI0CS000,0
216784,Doce monos,tiene,tener,VMIP3S0,01508689
216784,Doce monos,sospechas,sospecha,NCFP000,10072681
216784,Doce monos,.,.,Fp,0
216784,Doce monos,En,en,SPS00,0
216784,Doce monos,este,este,DD0MS0,0
216784,Doce monos,Centro_Psiquiátrico,centro_psiquiátrico,NP00000,0
216784,Doce monos,conoce,conocer,VMIP3S0,00401762
216784,Doce monos,a,a,SPS00,0
216784,Doce monos,la,el,DA0FS0,0
216784,Doce monos,psiquiatra,psiquiatra,NCCS000,07509639
216784,Doce monos,Kathryn_Railly,kathryn_railly,NP00000,0
216784,Doce monos,(,(,Fpa,0
216784,Doce monos,Madeleine_Stowe,madeleine_stowe,NP00000,0
216784,Doce monos,),),Fpt,0
216784,Doce monos,y,y,CC,0
216784,Doce monos,a,a,SPS00,0
216784,Doce monos,un,uno,DI0MS0,0
216784,Doce monos,excepcional,excepcional,AQ0CS0,00455774
216784,Doce monos,enfermo,enfermo,NCMS000,07574722
216784,Doce monos,mental,mental,AQ0CS0,01711900
216784,Doce monos,",",",",Fc,0
216784,Doce monos,Jeffrey_Goines,jeffrey_goines,NP00000,0
216784,Doce monos,(,(,Fpa,0
216784,Doce monos,Brad_Pitt,brad_pitt,NP00000,0
216784,Doce monos,),),Fpt,0
216784,Doce monos,",",",",Fc,0
216784,Doce monos,con,con,SPS00,0
216784,Doce monos,quienes,quien,PR0CP000,0
216784,Doce monos,entabla,entablar,VMIP3S0,00912398
216784,Doce monos,una,uno,DI0FS0,0
216784,Doce monos,particular,particular,AQ0CS0,01054295
216784,Doce monos,relación,relación,NCFS000,00018916
216784,Doce monos,que,que,PR0CN000,0
216784,Doce monos,le,le,PP3CSD00,0
216784,Doce monos,permite,permitir,VMIP3S0,01649126
216784,Doce monos,establecer,establecer,VMN0000,00430666
216784,Doce monos,que,que,CS,0
216784,Doce monos,un,uno,DI0MS0,0
216784,Doce monos,grupo,grupo,NCMS000,00017954
216784,Doce monos,radical,radical,AQ0CS0,01471688
216784,Doce monos,probablemente,probablemente,RG,0
216784,Doce monos,ecoterrorista,ecoterrorista,AQ0CS0,0
216784,Doce monos,llamado,llamar,VMP00SM,00696267
216784,Doce monos,Doce,12,Z,0
216784,Doce monos,Monos,monos,NP00000,0
216784,Doce monos,podría,poder,VMIC1S0,01857455
216784,Doce monos,ser,ser,VSN0000,01775973
216784,Doce monos,responsable,responsable,AQ0CS0,01923949
216784,Doce monos,de,de,SPS00,0
216784,Doce monos,la,el,DA0FS0,0
216784,Doce monos,propagación,propagación,NCFS000,05463353
216784,Doce monos,de,de,SPS00,0
216784,Doce monos,el,el,DA0MS0,0
216784,Doce monos,mortal,mortal,AQ0CS0,00941009
216784,Doce monos,virus,virus,NCMN000,00871107
216784,Doce monos,.,.,Fp,0
394089,Mr. Bean,Mr._Bean,mr._bean,NP00000,0
394089,Mr. Bean,habla,hablar,VMIP3S0,00638109
394089,Mr. Bean,muy,muy,RG,0
394089,Mr. Bean,pocas,poco,DI0FP0,0
394089,Mr. Bean,veces,vez,NCFP000,05449233
394089,Mr. Bean,y,y,CC,0
394089,Mr. Bean,cuando,cuando,CS,0
394089,Mr. Bean,lo,lo,PP3CNA00,0
394089,Mr. Bean,hace,hacer,VMIP3S0,01608899
394089,Mr. Bean,es,ser,VSIP3S0,01775973
394089,Mr. Bean,siempre,siempre,RG,0
394089,Mr. Bean,con,con,SPS00,0
394089,Mr. Bean,pocas,poco,DI0FP0,0
394089,Mr. Bean,palabras,palabra,NCFP000,04750884
394089,Mr. Bean,y,y,CC,0
394089,Mr. Bean,voz,voz,NCFS000,03893274
394089,Mr. Bean,grave,grave,AQ0CS0,01164535
394089,Mr. Bean,pero,pero,CC,0
394089,Mr. Bean,divertida,divertir,VMP00SF,00583232
394089,Mr. Bean,.,.,Fp,0
394089,Mr. Bean,Tiene,tener,VMIP3S0,01508689
394089,Mr. Bean,una,uno,DI0FS0,0
394089,Mr. Bean,novia,novio,NCFS000,07302617
394089,Mr. Bean,"""","""",Fe,0
394089,Mr. Bean,normal,normal,AQ0CS0,01657344
394089,Mr. Bean,"""","""",Fe,0
394089,Mr. Bean,(,(,Fpa,0
394089,Mr. Bean,Irma_Gobb,irma_gobb,NP00000,0
394089,Mr. Bean,),),Fpt,0
394089,Mr. Bean,que,que,CS,0
394089,Mr. Bean,a_pesar_de,a_pesar_de,SPS00,0
394089,Mr. Bean,su,su,DP3CS0,0
394089,Mr. Bean,banalidad,banalidad,NCFS000,05351337
394089,Mr. Bean,lo,lo,PP3CNA00,0
394089,Mr. Bean,adora,adorar,VMIP3S0,01247684
394089,Mr. Bean,y,y,CC,0
394089,Mr. Bean,lo,lo,PP3CNA00,0
394089,Mr. Bean,odia,odiar,VMIP3S0,01211167
394089,Mr. Bean,a_la_vez,a_la_vez,RG,0
394089,Mr. Bean,.,.,Fp,0
394089,Mr. Bean,Mientras,mientras,CS,0
394089,Mr. Bean,la,el,DA0FS0,0
394089,Mr. Bean,historia,historia,NCFS000,05392977
394089,Mr. Bean,se,se,P0000000,0
394089,Mr. Bean,desarrolla,desarrollar,VMIP3S0,01188481
394089,Mr. Bean,conoce,conocer,VMIP3S0,00401762
394089,Mr. Bean,a,a,SPS00,0
394089,Mr. Bean,Denny_Duquette,denny_duquette,NP00000,0
394089,Mr. Bean,",",",",Fc,0
394089,Mr. Bean,un,uno,DI0MS0,0
394089,Mr. Bean,paciente,paciente,AQ0CS0,01672718
394089,Mr. Bean,enfermo,enfermo,NCMS000,05962629
394089,Mr. Bean,de,de,SPS00,0
394089,Mr. Bean,el,el,DA0MS0,0
394089,Mr. Bean,corazón,corazón,NCMS000,06286659
394089,Mr. Bean,con,con,SPS00,0
394089,Mr. Bean,quien,quien,PR0CS000,0
394089,Mr. Bean,entabla,entablar,VMIP3S0,00912398
394089,Mr. Bean,amistad,amistad,NCFS000,10038317
394089,Mr. Bean,.,.,Fp,0
394089,Mr. Bean,a,a,SPS00,0
394089,Mr. Bean,el,el,DA0MS0,0
394089,Mr. Bean,pasar,pasar,VMN0000,00235191
394089,Mr. Bean,los,el,DA0MP0,0
394089,Mr. Bean,capítulos,capítulo,NCMP000,06108853
394089,Mr. Bean,Denny,denny,NP00000,0
394089,Mr. Bean,regresa,regresar,VMIP3S0,01367732
394089,Mr. Bean,",",",",Fc,0
394089,Mr. Bean,pero,pero,CC,0
394089,Mr. Bean,aún,aun,RG,0
394089,Mr. Bean,más,más,RG,0
394089,Mr. Bean,enfermo,enfermo,AQ0MS0,02421145
394089,Mr. Bean,de,de,SPS00,0
394089,Mr. Bean,el,el,DA0MS0,0
394089,Mr. Bean,corazón,corazón,NCMS000,06286659
394089,Mr. Bean,por,por,SPS00,0
394089,Mr. Bean,lo,el,DA0NS0,0
394089,Mr. Bean,cual,cual,PR0CS000,0
394089,Mr. Bean,le,le,PP3CSD00,0
394089,Mr. Bean,ponen,poner,VMIP3P0,01026409
